bgp,satisfiable,found,type,size,ms,gen
S_4P_C,true,1,P,4,4155,825542
S_4J,true,1,J,4,41,7606
S_3T,true,1,T,3,0,44
S_3P_C,true,1,P,3,0,47
S_3J,true,1,J,3,94,12104
S_2T,true,1,T,2,1,16
S_2P_R,true,1,P,2,46,1541
S_2J,true,1,J,2,0,17
N_1T,false,0,T,1,1,12
N_2J,false,0,J,2,0,0
N_2P_R,false,0,P,2,60,1957
N_2T,false,0,T,2,477,16364
N_3J,false,0,J,3,0,0
N_3P_C,false,0,P,3,2806,109601
N_3P_R,false,0,P,3,257,12330
N_3T,false,-1,T,3,-1,-1
N_4J,false,0,J,4,0,2
N_4P_C,false,-1,P,4,-1,-1
N_4T,false,-1,T,4,-1,-1
N_5J,false,0,J,5,0,5
N_5P_C,false,-1,P,5,-1,-1
N_5T,false,-1,T,5,-1,-1
S_1T,true,1,T,1,1,33
S_5T,true,1,T,5,2,83
S_5P_C,true,1,P,5,1,75
S_4T,true,1,T,4,1,48
S_4P_C,true,1,P,4,4957,824051
S_4J,true,1,J,4,44,7510
S_3T,true,1,T,3,0,50
S_3P_C,true,1,P,3,1,52
S_3J,true,1,J,3,162,12619
S_2T,true,1,T,2,1,22
S_2P_R,true,1,P,2,49,1492
S_2J,true,1,J,2,1,16
