query,bgpx,found,varSize,size,ms,gen
query-202.rq,1,8,4,3,1,8
query-203.rq,1,8,4,3,0,8
query-204.rq,0,-1,0,0,0,0
query-205.rq,1,4,3,2,0,4
query-206.rq,1,2,2,2,0,4
query-206.rq,2,8,4,3,0,8
query-206.rq,3,2,2,1,0,2
query-206.rq,4,2,2,1,0,2
query-206.rq,5,2,2,1,1,2
query-207.rq,1,16,9,12,3,256
query-208.rq,1,16,9,12,3,256
query-208.rq,2,4,5,6,0,16
query-208.rq,3,2,3,3,0,4
query-208.rq,4,2,3,3,1,4
query-209.rq,1,1,0,0,0,1
query-209.rq,2,32,8,7,1,32
query-209.rq,3,64,9,8,2,64
query-209.rq,4,64,9,8,1,64
query-209.rq,5,8,4,3,0,8
query-209.rq,6,64,8,6,2,64
query-21.rq,1,4,3,2,0,4
query-21.rq,2,8,4,3,0,8
query-21.rq,3,2,2,1,0,2
query-21.rq,4,2,2,1,0,2
query-210.rq,1,4,3,2,0,4
query-210.rq,2,8,4,3,1,8
query-210.rq,3,1,1,2,0,4
query-210.rq,4,2,2,1,0,2
query-211.rq,0,-1,0,0,0,0
query-212.rq,0,-1,0,0,0,0
query-213.rq,1,4,3,2,0,4
query-213.rq,2,2,2,1,0,2
query-213.rq,3,4,4,3,1,8
query-214.rq,1,4,3,2,0,4
query-214.rq,2,2,2,1,0,2
query-214.rq,3,4,4,3,0,8
query-215.rq,1,1,0,0,0,1
query-215.rq,2,2,2,1,0,2
query-215.rq,3,4,3,2,0,4
query-215.rq,4,8,4,3,1,8
query-215.rq,5,8,6,4,0,12
query-215.rq,6,16,7,5,1,24
query-215.rq,7,32,8,6,1,48
query-215.rq,8,64,9,7,2,96
query-215.rq,9,128,10,8,5,192
query-215.rq,10,128,11,9,6,192
query-215.rq,11,2048,16,14,189,3072
query-216.rq,1,6,3,1,0,12
query-217.rq,1,4,3,2,1,4
query-217.rq,2,2,2,1,0,2
query-217.rq,3,2,2,1,0,2
query-217.rq,4,2,2,1,0,2
query-217.rq,5,2,2,1,0,2
query-218.rq,0,-1,0,0,0,0
query-219.rq,0,-1,0,0,0,0
query-22.rq,1,64,7,6,1,64
query-220.rq,0,-1,0,0,0,0
query-221.rq,1,6,3,1,0,12
query-222.rq,1,2,2,1,0,2
query-222.rq,2,2,2,1,0,2
query-222.rq,3,2,2,1,0,2
query-222.rq,4,4,3,2,0,4
query-222.rq,5,2,2,1,0,2
query-222.rq,6,2,2,1,0,2
query-222.rq,7,4,3,2,0,4
query-222.rq,8,2,2,2,1,4
query-222.rq,9,2,2,1,0,2
query-222.rq,10,4,3,2,0,4
query-223.rq,0,-1,0,0,0,0
query-224.rq,1,6,3,2,1,24
query-224.rq,2,6,3,1,0,12
query-224.rq,3,2,2,1,0,2
query-224.rq,4,2,2,1,0,2
query-224.rq,5,2,2,1,0,2
query-224.rq,6,2,2,1,0,2
query-224.rq,7,2,2,1,0,2
query-224.rq,8,2,2,1,0,2
query-224.rq,9,2,2,1,0,2
query-225.rq,1,32,6,5,0,32
query-225.rq,2,16,5,4,1,16
query-225.rq,3,8,4,3,0,8
query-226.rq,1,6,3,1,0,12
query-227.rq,1,6,3,1,0,12
query-228.rq,1,8,7,9,1,64
query-228.rq,2,4,6,9,1,64
query-229.rq,1,1,1,1,0,2
query-229.rq,2,2,2,1,0,2
query-229.rq,3,2,2,1,0,2
query-229.rq,4,2,2,1,0,2
query-23.rq,1,6,3,1,0,12
query-230.rq,1,1,0,0,0,1
query-230.rq,2,8,6,4,0,12
query-231.rq,1,16,5,4,0,16
query-231.rq,2,4,5,3,0,6
query-232.rq,1,8,7,7,4,432
query-232.rq,2,32,9,8,8,864
query-232.rq,3,2,3,2,0,6
query-233.rq,1,16,5,4,0,16
query-233.rq,2,8,4,3,0,8
query-234.rq,1,2,3,3,0,4
query-234.rq,2,4,5,6,0,16
query-235.rq,1,4,5,6,0,16
query-235.rq,2,4,5,6,0,16
query-235.rq,3,4,5,6,0,16
query-235.rq,4,4,6,9,1,64
query-236.rq,1,2,3,3,0,4
query-236.rq,2,2,3,3,0,4
query-236.rq,3,8,7,9,1,64
query-236.rq,4,8,7,9,5,64
query-237.rq,1,1,1,2,0,4
query-237.rq,2,2,2,1,0,2
query-238.rq,1,4,3,2,0,4
query-238.rq,2,4,3,2,0,4
query-239.rq,1,6,3,2,0,24
query-239.rq,2,2,2,1,0,2
query-239.rq,3,2,2,1,0,2
query-239.rq,4,5,4,2,0,12
query-239.rq,5,4,5,3,0,6
query-239.rq,6,2,2,1,0,2
query-239.rq,7,2,2,1,0,2
query-239.rq,8,2,2,1,0,2
query-239.rq,9,2,2,1,0,2
query-24.rq,1,32,7,6,2,96
query-240.rq,1,1,0,0,0,1
query-240.rq,2,16,8,6,1,24
query-241.rq,1,1,0,0,0,1
query-241.rq,2,160,10,8,10,1152
query-241.rq,3,4,3,2,0,4
query-241.rq,4,2,2,1,0,2
query-241.rq,5,2,2,1,0,2
query-241.rq,6,2,2,1,0,2
query-241.rq,7,2,2,1,0,2
query-241.rq,8,2,2,1,0,2
query-241.rq,9,2,2,1,0,2
query-241.rq,10,2,2,1,0,2
query-241.rq,11,2,2,1,0,2
query-241.rq,12,2,2,1,0,2
query-241.rq,13,2,2,1,0,2
query-241.rq,14,2,2,1,0,2
query-241.rq,15,2,2,1,0,2
query-241.rq,16,2,2,1,0,2
query-241.rq,17,16,6,4,1,24
query-241.rq,18,16,6,4,0,24
query-241.rq,19,2,2,1,0,2
query-241.rq,20,2,2,1,0,2
query-241.rq,21,2,2,1,0,2
query-241.rq,22,32,7,5,0,48
query-241.rq,23,2,2,1,0,2
query-241.rq,24,2,2,1,0,2
query-241.rq,25,2,2,1,0,2
query-241.rq,26,2,2,1,0,2
query-242.rq,1,2,2,1,0,2
query-242.rq,2,2,2,1,0,2
query-242.rq,3,2,2,1,0,2
query-242.rq,4,4,3,2,0,4
query-242.rq,5,2,2,1,0,2
query-243.rq,1,576,9,6,28,2304
query-243.rq,2,2,2,1,0,2
query-243.rq,3,1024,14,12,69,1536
query-244.rq,1,1,0,0,0,1
query-244.rq,2,-1,23,20,-1,-1
query-245.rq,1,1,0,0,0,1
query-245.rq,2,2,2,1,0,2
query-245.rq,3,4,3,2,0,4
query-245.rq,4,8,4,3,0,8
query-245.rq,5,8,6,4,0,12
query-245.rq,6,16,7,5,1,24
query-245.rq,7,32,8,6,1,48
query-245.rq,8,64,9,7,2,96
query-245.rq,9,128,10,8,4,192
query-245.rq,10,128,11,9,4,192
query-245.rq,11,2048,16,14,191,3072
query-246.rq,1,16,5,4,0,16
query-247.rq,1,2,3,3,0,4
query-247.rq,2,2,3,3,0,4
query-247.rq,3,2,3,3,0,4
query-247.rq,4,4,5,6,0,16
query-247.rq,5,2,3,3,0,4
query-247.rq,6,2,3,3,0,4
query-247.rq,7,8,7,9,1,64
query-247.rq,8,2,3,3,0,4
query-247.rq,9,2,3,3,0,4
query-247.rq,10,2,3,3,0,4
query-247.rq,11,4,5,6,0,16
query-248.rq,1,4,3,2,1,4
query-249.rq,1,2048,16,14,177,3072
query-25.rq,1,32,6,5,0,32
query-25.rq,2,16,5,4,0,16
query-25.rq,3,8,4,3,0,8
query-250.rq,1,2048,16,14,174,3072
query-251.rq,1,4,3,2,0,4
