B,true,q7-csv-strategy1-no_slice.sparql,8,2,2,2,0,4
B,true,q7-csv-strategy1-no_slice.sparql,9,2,2,1,0,2
B,true,q7-csv-strategy1-no_slice.sparql,10,4,3,2,1,4
B,true,q8-csv-strategy1-no_slice.sparql,1,2,2,1,0,2
B,true,q8-csv-strategy1-no_slice.sparql,2,2,2,1,1,2
B,true,q8-csv-strategy1-no_slice.sparql,3,2,2,1,1,2
B,true,q8-csv-strategy1-no_slice.sparql,4,4,3,2,0,4
B,true,q8-csv-strategy1-no_slice.sparql,5,2,2,1,0,2
B,true,q8-csv-strategy1-no_slice.sparql,6,2,2,1,0,2
B,true,q8-csv-strategy1-no_slice.sparql,7,8,4,3,0,8
B,true,q8-csv-strategy1-no_slice.sparql,8,2,2,1,0,2
B,true,q8-csv-strategy1-no_slice.sparql,9,2,2,1,0,2
B,true,q8-csv-strategy1-no_slice.sparql,10,2,2,1,0,2
B,true,q8-csv-strategy1-no_slice.sparql,11,4,3,2,0,4
B,true,q9-csv-strategy1-no_slice.sparql,1,16,5,4,2,16
B,true,q9-csv-strategy1-no_slice.sparql,2,2,2,1,0,2
B,true,q9-csv-strategy1-no_slice.sparql,3,8,4,3,1,8
